10 step, loss = 7017.890, accuracy = 0.880
20 step, loss = 7999.240, accuracy = 0.780
30 step, loss = 2683.601, accuracy = 0.910
40 step, loss = 4461.168, accuracy = 0.850
50 step, loss = 3545.354, accuracy = 0.850
60 step, loss = 3637.973, accuracy = 0.860
70 step, loss = 1557.126, accuracy = 0.880
80 step, loss = 2311.121, accuracy = 0.880
90 step, loss = 4566.558, accuracy = 0.800
100 step, loss = 2544.853, accuracy = 0.910
110 step, loss = 1861.479, accuracy = 0.890
120 step, loss = 1760.050, accuracy = 0.880
130 step, loss = 5994.413, accuracy = 0.810
140 step, loss = 3481.050, accuracy = 0.850
150 step, loss = 4743.711, accuracy = 0.860
160 step, loss = 2909.767, accuracy = 0.880
170 step, loss = 2160.285, accuracy = 0.870
180 step, loss = 3223.102, accuracy = 0.900
190 step, loss = 4750.355, accuracy = 0.850
200 step, loss = 2241.058, accuracy = 0.920
210 step, loss = 1988.818, accuracy = 0.900
220 step, loss = 3183.328, accuracy = 0.840
230 step, loss = 1199.312, accuracy = 0.920
240 step, loss = 3865.325, accuracy = 0.840
250 step, loss = 3077.757, accuracy = 0.890
260 step, loss = 3307.943, accuracy = 0.890
270 step, loss = 1357.766, accuracy = 0.910
280 step, loss = 4376.027, accuracy = 0.900
290 step, loss = 1244.457, accuracy = 0.910
300 step, loss = 1946.392, accuracy = 0.900
310 step, loss = 3203.691, accuracy = 0.850
320 step, loss = 1323.858, accuracy = 0.930
330 step, loss = 1441.962, accuracy = 0.900
340 step, loss = 1126.623, accuracy = 0.940
350 step, loss = 863.408, accuracy = 0.950
360 step, loss = 5128.490, accuracy = 0.880
370 step, loss = 715.280, accuracy = 0.930
380 step, loss = 1946.914, accuracy = 0.920
390 step, loss = 677.065, accuracy = 0.960
400 step, loss = 3691.821, accuracy = 0.870
410 step, loss = 610.931, accuracy = 0.950
420 step, loss = 1717.181, accuracy = 0.910
430 step, loss = 2153.835, accuracy = 0.910
440 step, loss = 805.134, accuracy = 0.950
450 step, loss = 1324.897, accuracy = 0.950
460 step, loss = 1984.642, accuracy = 0.890
470 step, loss = 1486.157, accuracy = 0.930
480 step, loss = 1062.770, accuracy = 0.940
490 step, loss = 1510.045, accuracy = 0.920
500 step, loss = 2031.424, accuracy = 0.880
510 step, loss = 1192.775, accuracy = 0.920
520 step, loss = 2902.189, accuracy = 0.840
530 step, loss = 1018.077, accuracy = 0.900
540 step, loss = 1025.835, accuracy = 0.940
550 step, loss = 2009.361, accuracy = 0.880
560 step, loss = 1565.786, accuracy = 0.880
570 step, loss = 730.282, accuracy = 0.940
580 step, loss = 1820.689, accuracy = 0.900
590 step, loss = 1304.345, accuracy = 0.930
600 step, loss = 1410.000, accuracy = 0.900
610 step, loss = 3096.822, accuracy = 0.890
620 step, loss = 343.976, accuracy = 0.960
630 step, loss = 860.458, accuracy = 0.910
640 step, loss = 760.069, accuracy = 0.920
650 step, loss = 961.112, accuracy = 0.930
660 step, loss = 1683.024, accuracy = 0.940
670 step, loss = 933.052, accuracy = 0.940
680 step, loss = 1574.631, accuracy = 0.910
690 step, loss = 596.791, accuracy = 0.950
700 step, loss = 1767.829, accuracy = 0.900
710 step, loss = 1171.135, accuracy = 0.920
720 step, loss = 709.310, accuracy = 0.960
730 step, loss = 1227.937, accuracy = 0.910
740 step, loss = 1620.862, accuracy = 0.940
750 step, loss = 1026.196, accuracy = 0.940
760 step, loss = 470.805, accuracy = 0.970
770 step, loss = 929.815, accuracy = 0.940
780 step, loss = 1373.340, accuracy = 0.940
790 step, loss = 1253.416, accuracy = 0.900
800 step, loss = 1022.489, accuracy = 0.940
810 step, loss = 608.013, accuracy = 0.980
820 step, loss = 294.283, accuracy = 0.970
830 step, loss = 1197.596, accuracy = 0.930
840 step, loss = 895.264, accuracy = 0.940
850 step, loss = 1659.606, accuracy = 0.940
860 step, loss = 1128.994, accuracy = 0.950
870 step, loss = 768.974, accuracy = 0.940
880 step, loss = 791.764, accuracy = 0.950
890 step, loss = 1206.078, accuracy = 0.930
