10 step, loss = 6256.732, accuracy = 0.810
20 step, loss = 2792.200, accuracy = 0.820
30 step, loss = 6582.984, accuracy = 0.840
40 step, loss = 2042.921, accuracy = 0.890
50 step, loss = 2337.141, accuracy = 0.910
60 step, loss = 2416.500, accuracy = 0.860
70 step, loss = 5464.233, accuracy = 0.870
80 step, loss = 2268.498, accuracy = 0.860
90 step, loss = 5094.011, accuracy = 0.850
100 step, loss = 1839.505, accuracy = 0.900
110 step, loss = 1671.870, accuracy = 0.920
120 step, loss = 2807.644, accuracy = 0.850
130 step, loss = 1790.484, accuracy = 0.900
140 step, loss = 2386.694, accuracy = 0.890
150 step, loss = 2785.947, accuracy = 0.880
160 step, loss = 6465.508, accuracy = 0.800
170 step, loss = 1774.204, accuracy = 0.890
180 step, loss = 4187.236, accuracy = 0.840
190 step, loss = 1418.942, accuracy = 0.920
200 step, loss = 2417.410, accuracy = 0.900
210 step, loss = 1528.025, accuracy = 0.880
220 step, loss = 4364.476, accuracy = 0.890
230 step, loss = 2856.181, accuracy = 0.860
240 step, loss = 1704.159, accuracy = 0.910
250 step, loss = 741.438, accuracy = 0.930
260 step, loss = 2836.412, accuracy = 0.870
270 step, loss = 2096.195, accuracy = 0.870
280 step, loss = 1410.014, accuracy = 0.940
290 step, loss = 3491.807, accuracy = 0.880
300 step, loss = 3074.962, accuracy = 0.850
310 step, loss = 1122.848, accuracy = 0.940
320 step, loss = 1675.086, accuracy = 0.910
330 step, loss = 1185.649, accuracy = 0.930
340 step, loss = 1429.175, accuracy = 0.910
350 step, loss = 765.955, accuracy = 0.970
360 step, loss = 1947.858, accuracy = 0.920
370 step, loss = 1727.456, accuracy = 0.920
380 step, loss = 1738.541, accuracy = 0.900
390 step, loss = 1123.648, accuracy = 0.940
400 step, loss = 703.783, accuracy = 0.950
410 step, loss = 657.456, accuracy = 0.940
420 step, loss = 478.837, accuracy = 0.970
430 step, loss = 1505.072, accuracy = 0.920
440 step, loss = 973.735, accuracy = 0.930
450 step, loss = 678.158, accuracy = 0.960
460 step, loss = 1773.965, accuracy = 0.920
470 step, loss = 1090.899, accuracy = 0.920
480 step, loss = 1802.262, accuracy = 0.910
490 step, loss = 821.680, accuracy = 0.950
500 step, loss = 1414.224, accuracy = 0.910
510 step, loss = 1667.422, accuracy = 0.920
520 step, loss = 1448.479, accuracy = 0.900
530 step, loss = 772.119, accuracy = 0.940
540 step, loss = 1563.631, accuracy = 0.940
550 step, loss = 1689.759, accuracy = 0.890
560 step, loss = 574.526, accuracy = 0.950
570 step, loss = 955.716, accuracy = 0.930
580 step, loss = 1022.002, accuracy = 0.930
590 step, loss = 946.770, accuracy = 0.960
600 step, loss = 1355.590, accuracy = 0.930
610 step, loss = 606.386, accuracy = 0.940
620 step, loss = 1725.289, accuracy = 0.910
630 step, loss = 1442.808, accuracy = 0.920
