10 step, loss = 3622.005, accuracy = 0.850
20 step, loss = 2659.642, accuracy = 0.860
30 step, loss = 3369.260, accuracy = 0.850
40 step, loss = 7426.763, accuracy = 0.830
50 step, loss = 2800.672, accuracy = 0.880
60 step, loss = 2931.665, accuracy = 0.880
70 step, loss = 3070.851, accuracy = 0.860
80 step, loss = 7329.309, accuracy = 0.860
90 step, loss = 2059.182, accuracy = 0.910
100 step, loss = 3700.162, accuracy = 0.880
110 step, loss = 1788.271, accuracy = 0.880
120 step, loss = 2577.604, accuracy = 0.860
130 step, loss = 2371.675, accuracy = 0.900
140 step, loss = 3784.791, accuracy = 0.870
150 step, loss = 2743.612, accuracy = 0.910
160 step, loss = 1380.676, accuracy = 0.950
170 step, loss = 3199.132, accuracy = 0.850
180 step, loss = 4230.763, accuracy = 0.860
190 step, loss = 1350.202, accuracy = 0.930
200 step, loss = 3043.071, accuracy = 0.890
210 step, loss = 1503.697, accuracy = 0.900
220 step, loss = 1298.115, accuracy = 0.940
230 step, loss = 1950.985, accuracy = 0.910
240 step, loss = 1001.422, accuracy = 0.930
250 step, loss = 2588.313, accuracy = 0.880
260 step, loss = 2088.438, accuracy = 0.910
270 step, loss = 471.569, accuracy = 0.960
280 step, loss = 1615.200, accuracy = 0.900
290 step, loss = 744.245, accuracy = 0.950
300 step, loss = 1327.740, accuracy = 0.950
310 step, loss = 821.346, accuracy = 0.940
320 step, loss = 1217.741, accuracy = 0.940
330 step, loss = 564.792, accuracy = 0.950
340 step, loss = 1557.399, accuracy = 0.910
350 step, loss = 1017.981, accuracy = 0.920
360 step, loss = 2677.650, accuracy = 0.920
370 step, loss = 1113.960, accuracy = 0.940
380 step, loss = 602.814, accuracy = 0.960
390 step, loss = 1001.073, accuracy = 0.930
400 step, loss = 1711.888, accuracy = 0.900
410 step, loss = 1839.779, accuracy = 0.920
420 step, loss = 1399.706, accuracy = 0.930
430 step, loss = 594.467, accuracy = 0.960
440 step, loss = 962.677, accuracy = 0.910
450 step, loss = 522.440, accuracy = 0.970
460 step, loss = 998.722, accuracy = 0.940
470 step, loss = 1272.333, accuracy = 0.920
480 step, loss = 1300.041, accuracy = 0.910
490 step, loss = 1336.196, accuracy = 0.920
500 step, loss = 2272.348, accuracy = 0.920
510 step, loss = 939.738, accuracy = 0.930
520 step, loss = 420.429, accuracy = 0.950
530 step, loss = 880.721, accuracy = 0.930
540 step, loss = 1213.002, accuracy = 0.900
550 step, loss = 1791.503, accuracy = 0.900
560 step, loss = 1453.733, accuracy = 0.950
570 step, loss = 582.293, accuracy = 0.950
580 step, loss = 2034.258, accuracy = 0.910
590 step, loss = 1210.988, accuracy = 0.930
600 step, loss = 1181.693, accuracy = 0.940
610 step, loss = 1344.750, accuracy = 0.920
620 step, loss = 1515.735, accuracy = 0.940
630 step, loss = 771.358, accuracy = 0.940
640 step, loss = 758.277, accuracy = 0.960
650 step, loss = 1567.237, accuracy = 0.920
660 step, loss = 546.424, accuracy = 0.940
670 step, loss = 991.844, accuracy = 0.950
680 step, loss = 972.591, accuracy = 0.950
690 step, loss = 821.217, accuracy = 0.960
700 step, loss = 2819.965, accuracy = 0.910
710 step, loss = 1777.491, accuracy = 0.900
720 step, loss = 1156.154, accuracy = 0.920
730 step, loss = 587.329, accuracy = 0.960
740 step, loss = 843.057, accuracy = 0.920
750 step, loss = 2652.986, accuracy = 0.910
760 step, loss = 786.936, accuracy = 0.930
770 step, loss = 801.614, accuracy = 0.940
780 step, loss = 1957.577, accuracy = 0.930
790 step, loss = 501.746, accuracy = 0.960
800 step, loss = 790.575, accuracy = 0.940
810 step, loss = 2182.032, accuracy = 0.920
820 step, loss = 1722.968, accuracy = 0.940
830 step, loss = 504.760, accuracy = 0.960
840 step, loss = 1460.109, accuracy = 0.940
850 step, loss = 643.109, accuracy = 0.940
860 step, loss = 604.181, accuracy = 0.950
870 step, loss = 964.176, accuracy = 0.940
880 step, loss = 874.862, accuracy = 0.920
890 step, loss = 1238.977, accuracy = 0.930
900 step, loss = 1213.787, accuracy = 0.920
910 step, loss = 570.791, accuracy = 0.930
920 step, loss = 928.990, accuracy = 0.930
930 step, loss = 546.912, accuracy = 0.970
940 step, loss = 1346.801, accuracy = 0.910
950 step, loss = 604.705, accuracy = 0.980
960 step, loss = 893.233, accuracy = 0.940
970 step, loss = 1080.419, accuracy = 0.930
980 step, loss = 1091.361, accuracy = 0.920
990 step, loss = 867.424, accuracy = 0.950
1000 step, loss = 961.784, accuracy = 0.920
1010 step, loss = 523.907, accuracy = 0.960
1020 step, loss = 1359.315, accuracy = 0.950
1030 step, loss = 1085.613, accuracy = 0.950
1040 step, loss = 1264.842, accuracy = 0.940
1050 step, loss = 898.726, accuracy = 0.940
1060 step, loss = 1571.151, accuracy = 0.920
1070 step, loss = 617.011, accuracy = 0.940
1080 step, loss = 892.370, accuracy = 0.950
1090 step, loss = 1477.687, accuracy = 0.900
1100 step, loss = 1266.782, accuracy = 0.920
1110 step, loss = 966.511, accuracy = 0.920
1120 step, loss = 1073.539, accuracy = 0.960
1130 step, loss = 354.636, accuracy = 0.970
1140 step, loss = 1511.412, accuracy = 0.950
1150 step, loss = 191.561, accuracy = 0.980
1160 step, loss = 1101.573, accuracy = 0.920
1170 step, loss = 1100.423, accuracy = 0.940
1180 step, loss = 208.541, accuracy = 0.990
1190 step, loss = 797.383, accuracy = 0.950
1200 step, loss = 1300.894, accuracy = 0.940
1210 step, loss = 561.128, accuracy = 0.980
1220 step, loss = 1929.075, accuracy = 0.910
1230 step, loss = 578.882, accuracy = 0.960
1240 step, loss = 1726.354, accuracy = 0.910
1250 step, loss = 981.480, accuracy = 0.910
1260 step, loss = 2161.532, accuracy = 0.940
1270 step, loss = 1345.739, accuracy = 0.940
1280 step, loss = 1795.542, accuracy = 0.910
1290 step, loss = 759.512, accuracy = 0.980
1300 step, loss = 402.933, accuracy = 0.980
1310 step, loss = 570.160, accuracy = 0.940
1320 step, loss = 505.549, accuracy = 0.960
1330 step, loss = 1723.192, accuracy = 0.970
1340 step, loss = 519.334, accuracy = 0.960
1350 step, loss = 218.058, accuracy = 0.970
1360 step, loss = 698.449, accuracy = 0.940
1370 step, loss = 989.492, accuracy = 0.940
1380 step, loss = 1149.362, accuracy = 0.920
1390 step, loss = 743.932, accuracy = 0.930
1400 step, loss = 994.167, accuracy = 0.910
1410 step, loss = 323.071, accuracy = 0.980
1420 step, loss = 294.839, accuracy = 0.980
1430 step, loss = 490.553, accuracy = 0.950
1440 step, loss = 575.700, accuracy = 0.970
1450 step, loss = 1162.630, accuracy = 0.930
1460 step, loss = 1722.282, accuracy = 0.890
1470 step, loss = 1109.716, accuracy = 0.940
1480 step, loss = 1479.653, accuracy = 0.910
1490 step, loss = 714.112, accuracy = 0.950
1500 step, loss = 793.225, accuracy = 0.940
1510 step, loss = 637.638, accuracy = 0.960
1520 step, loss = 1287.554, accuracy = 0.960
1530 step, loss = 727.259, accuracy = 0.950
1540 step, loss = 1721.884, accuracy = 0.950
1550 step, loss = 1484.378, accuracy = 0.940
1560 step, loss = 379.283, accuracy = 0.950
1570 step, loss = 206.365, accuracy = 0.970
1580 step, loss = 1136.820, accuracy = 0.940
1590 step, loss = 1172.609, accuracy = 0.940
1600 step, loss = 259.557, accuracy = 0.980
1610 step, loss = 746.950, accuracy = 0.950
1620 step, loss = 682.784, accuracy = 0.970
1630 step, loss = 2405.952, accuracy = 0.940
1640 step, loss = 1138.261, accuracy = 0.960
1650 step, loss = 1733.587, accuracy = 0.940
1660 step, loss = 737.899, accuracy = 0.960
1670 step, loss = 803.321, accuracy = 0.960
1680 step, loss = 466.222, accuracy = 0.980
1690 step, loss = 523.903, accuracy = 0.990
1700 step, loss = 1201.996, accuracy = 0.930
1710 step, loss = 688.255, accuracy = 0.930
1720 step, loss = 936.248, accuracy = 0.970
1730 step, loss = 1064.254, accuracy = 0.930
1740 step, loss = 697.406, accuracy = 0.960
1750 step, loss = 940.057, accuracy = 0.950
1760 step, loss = 407.097, accuracy = 0.970
1770 step, loss = 1378.124, accuracy = 0.910
1780 step, loss = 1556.440, accuracy = 0.920
1790 step, loss = 1004.410, accuracy = 0.930
1800 step, loss = 785.434, accuracy = 0.940
1810 step, loss = 1378.114, accuracy = 0.940
1820 step, loss = 2477.389, accuracy = 0.920
1830 step, loss = 403.233, accuracy = 0.960
1840 step, loss = 495.963, accuracy = 0.940
1850 step, loss = 421.411, accuracy = 0.960
1860 step, loss = 1245.202, accuracy = 0.940
1870 step, loss = 670.397, accuracy = 0.990
1880 step, loss = 426.647, accuracy = 0.960
1890 step, loss = 502.890, accuracy = 0.970
1900 step, loss = 538.566, accuracy = 0.940
1910 step, loss = 1830.726, accuracy = 0.930
1920 step, loss = 491.540, accuracy = 0.970
1930 step, loss = 1350.036, accuracy = 0.950
1940 step, loss = 996.846, accuracy = 0.960
1950 step, loss = 611.567, accuracy = 0.960
1960 step, loss = 441.901, accuracy = 0.960
1970 step, loss = 638.707, accuracy = 0.940
1980 step, loss = 579.262, accuracy = 0.950
1990 step, loss = 615.797, accuracy = 0.940
2000 step, loss = 398.738, accuracy = 0.970
accuracy = 0.959
