10 step, loss = 7492.339, accuracy = 0.800
20 step, loss = 3908.294, accuracy = 0.810
30 step, loss = 3478.108, accuracy = 0.860
40 step, loss = 3837.518, accuracy = 0.820
50 step, loss = 4239.052, accuracy = 0.800
60 step, loss = 5251.501, accuracy = 0.870
70 step, loss = 1088.442, accuracy = 0.920
80 step, loss = 2693.549, accuracy = 0.860
90 step, loss = 1592.268, accuracy = 0.960
100 step, loss = 1353.422, accuracy = 0.910
110 step, loss = 867.170, accuracy = 0.950
120 step, loss = 1754.688, accuracy = 0.910
130 step, loss = 775.824, accuracy = 0.940
140 step, loss = 1562.250, accuracy = 0.890
150 step, loss = 3896.376, accuracy = 0.850
160 step, loss = 1470.914, accuracy = 0.900
170 step, loss = 820.188, accuracy = 0.930
180 step, loss = 3408.067, accuracy = 0.860
190 step, loss = 2632.834, accuracy = 0.880
200 step, loss = 461.422, accuracy = 0.960
210 step, loss = 1360.868, accuracy = 0.930
220 step, loss = 1338.364, accuracy = 0.920
230 step, loss = 3813.274, accuracy = 0.850
240 step, loss = 2834.670, accuracy = 0.900
250 step, loss = 1111.908, accuracy = 0.920
260 step, loss = 2949.668, accuracy = 0.920
270 step, loss = 1244.383, accuracy = 0.900
280 step, loss = 709.277, accuracy = 0.940
290 step, loss = 833.735, accuracy = 0.940
300 step, loss = 708.582, accuracy = 0.940
310 step, loss = 446.217, accuracy = 0.970
320 step, loss = 784.888, accuracy = 0.940
330 step, loss = 2588.867, accuracy = 0.930
340 step, loss = 469.662, accuracy = 0.970
350 step, loss = 1252.606, accuracy = 0.940
360 step, loss = 2030.005, accuracy = 0.910
370 step, loss = 329.883, accuracy = 0.980
380 step, loss = 1394.468, accuracy = 0.950
390 step, loss = 2902.648, accuracy = 0.880
400 step, loss = 2110.014, accuracy = 0.910
410 step, loss = 832.978, accuracy = 0.930
420 step, loss = 1044.463, accuracy = 0.930
430 step, loss = 1313.859, accuracy = 0.910
440 step, loss = 289.141, accuracy = 0.970
450 step, loss = 1790.076, accuracy = 0.900
460 step, loss = 1698.027, accuracy = 0.930
470 step, loss = 680.203, accuracy = 0.960
480 step, loss = 820.041, accuracy = 0.930
490 step, loss = 951.901, accuracy = 0.940
500 step, loss = 1018.421, accuracy = 0.930
510 step, loss = 3128.829, accuracy = 0.910
520 step, loss = 3091.198, accuracy = 0.870
530 step, loss = 851.667, accuracy = 0.940
540 step, loss = 1115.209, accuracy = 0.930
550 step, loss = 1259.726, accuracy = 0.930
560 step, loss = 1375.630, accuracy = 0.930
570 step, loss = 1294.980, accuracy = 0.950
580 step, loss = 1098.956, accuracy = 0.940
590 step, loss = 1839.462, accuracy = 0.900
600 step, loss = 437.554, accuracy = 0.960
610 step, loss = 2823.034, accuracy = 0.870
620 step, loss = 616.418, accuracy = 0.920
630 step, loss = 1412.774, accuracy = 0.900
640 step, loss = 649.809, accuracy = 0.950
650 step, loss = 1963.613, accuracy = 0.930
660 step, loss = 941.294, accuracy = 0.960
670 step, loss = 2008.432, accuracy = 0.920
680 step, loss = 2005.083, accuracy = 0.900
690 step, loss = 1462.973, accuracy = 0.890
700 step, loss = 1507.231, accuracy = 0.910
710 step, loss = 601.151, accuracy = 0.960
720 step, loss = 1696.489, accuracy = 0.930
730 step, loss = 917.266, accuracy = 0.970
740 step, loss = 281.660, accuracy = 0.950
750 step, loss = 1087.600, accuracy = 0.960
760 step, loss = 681.773, accuracy = 0.960
770 step, loss = 388.355, accuracy = 0.960
780 step, loss = 487.524, accuracy = 0.960
790 step, loss = 1465.149, accuracy = 0.930
800 step, loss = 1726.636, accuracy = 0.960
810 step, loss = 409.917, accuracy = 0.970
820 step, loss = 629.912, accuracy = 0.940
830 step, loss = 798.143, accuracy = 0.950
840 step, loss = 932.114, accuracy = 0.940
850 step, loss = 386.075, accuracy = 0.970
860 step, loss = 1208.874, accuracy = 0.940
870 step, loss = 807.736, accuracy = 0.940
880 step, loss = 894.993, accuracy = 0.950
890 step, loss = 410.968, accuracy = 0.960
900 step, loss = 1025.198, accuracy = 0.950
910 step, loss = 1140.218, accuracy = 0.940
920 step, loss = 259.597, accuracy = 0.980
930 step, loss = 259.571, accuracy = 0.970
940 step, loss = 705.013, accuracy = 0.960
950 step, loss = 1044.366, accuracy = 0.960
960 step, loss = 865.744, accuracy = 0.940
970 step, loss = 961.849, accuracy = 0.920
980 step, loss = 1083.524, accuracy = 0.940
990 step, loss = 802.054, accuracy = 0.940
1000 step, loss = 409.699, accuracy = 0.960
1010 step, loss = 1140.463, accuracy = 0.930
1020 step, loss = 834.785, accuracy = 0.950
1030 step, loss = 446.229, accuracy = 0.980
1040 step, loss = 337.324, accuracy = 0.980
1050 step, loss = 1200.165, accuracy = 0.950
1060 step, loss = 764.798, accuracy = 0.950
1070 step, loss = 871.907, accuracy = 0.950
1080 step, loss = 239.328, accuracy = 0.970
1090 step, loss = 611.389, accuracy = 0.950
1100 step, loss = 669.178, accuracy = 0.960
1110 step, loss = 367.204, accuracy = 0.960
1120 step, loss = 379.099, accuracy = 0.980
1130 step, loss = 950.359, accuracy = 0.920
1140 step, loss = 3313.239, accuracy = 0.900
1150 step, loss = 415.295, accuracy = 0.970
1160 step, loss = 1299.068, accuracy = 0.950
1170 step, loss = 754.831, accuracy = 0.980
1180 step, loss = 881.085, accuracy = 0.950
1190 step, loss = 368.779, accuracy = 0.960
1200 step, loss = 1180.010, accuracy = 0.890
1210 step, loss = 900.515, accuracy = 0.950
1220 step, loss = 1095.421, accuracy = 0.940
1230 step, loss = 1008.155, accuracy = 0.920
1240 step, loss = 854.313, accuracy = 0.950
1250 step, loss = 524.457, accuracy = 0.960
1260 step, loss = 1015.795, accuracy = 0.920
1270 step, loss = 1018.251, accuracy = 0.930
1280 step, loss = 1039.813, accuracy = 0.950
1290 step, loss = 295.935, accuracy = 0.960
1300 step, loss = 385.225, accuracy = 0.950
1310 step, loss = 442.187, accuracy = 0.960
1320 step, loss = 386.173, accuracy = 0.980
1330 step, loss = 1034.710, accuracy = 0.940
1340 step, loss = 1751.641, accuracy = 0.920
1350 step, loss = 705.270, accuracy = 0.940
1360 step, loss = 1086.413, accuracy = 0.930
1370 step, loss = 509.682, accuracy = 0.970
1380 step, loss = 1105.387, accuracy = 0.930
1390 step, loss = 290.457, accuracy = 0.980
1400 step, loss = 914.795, accuracy = 0.930
1410 step, loss = 1002.303, accuracy = 0.960
1420 step, loss = 1789.096, accuracy = 0.940
1430 step, loss = 255.561, accuracy = 0.980
