0 step, loss = 146126.344
10 step, loss = 41183.195
20 step, loss = 5110.244
30 step, loss = 2945.573
40 step, loss = 1225.059
50 step, loss = 5343.721
60 step, loss = 2491.370
70 step, loss = 2382.539
80 step, loss = 2490.711
90 step, loss = 1031.604
100 step, loss = 2292.012
110 step, loss = 3281.260
120 step, loss = 3273.137
130 step, loss = 2741.913
140 step, loss = 4587.705
150 step, loss = 626.306
160 step, loss = 1410.025
170 step, loss = 2063.671
180 step, loss = 630.286
190 step, loss = 1513.832
200 step, loss = 2448.012
210 step, loss = 1190.489
220 step, loss = 1589.130
230 step, loss = 2285.145
240 step, loss = 1459.065
250 step, loss = 2204.844
260 step, loss = 2089.439
270 step, loss = 2217.313
280 step, loss = 2842.417
290 step, loss = 1487.752
300 step, loss = 1253.366
310 step, loss = 1239.818
320 step, loss = 722.333
330 step, loss = 3652.274
340 step, loss = 3806.534
350 step, loss = 3014.559
360 step, loss = 445.036
370 step, loss = 938.434
380 step, loss = 2611.401
390 step, loss = 1530.956
400 step, loss = 948.411
410 step, loss = 688.744
420 step, loss = 1519.857
430 step, loss = 1510.590
440 step, loss = 769.260
450 step, loss = 2019.185
460 step, loss = 2230.930
470 step, loss = 875.296
480 step, loss = 1316.084
490 step, loss = 1168.042
500 step, loss = 970.611
510 step, loss = 1237.158
520 step, loss = 2410.819
530 step, loss = 2653.335
540 step, loss = 2214.071
550 step, loss = 1612.685
560 step, loss = 1034.456
570 step, loss = 701.261
580 step, loss = 1687.612
590 step, loss = 1876.792
600 step, loss = 553.811
610 step, loss = 636.888
620 step, loss = 1209.187
630 step, loss = 3418.770
640 step, loss = 1506.941
650 step, loss = 2588.243
660 step, loss = 2066.530
670 step, loss = 1514.875
680 step, loss = 976.898
690 step, loss = 1675.236
700 step, loss = 441.913
710 step, loss = 1434.520
720 step, loss = 1310.586
730 step, loss = 1370.660
740 step, loss = 1704.436
750 step, loss = 963.384
760 step, loss = 933.814
770 step, loss = 1332.669
780 step, loss = 1125.193
790 step, loss = 700.428
800 step, loss = 3089.030
810 step, loss = 793.183
820 step, loss = 739.562
830 step, loss = 1589.802
840 step, loss = 1121.814
850 step, loss = 2177.730
860 step, loss = 1413.244
870 step, loss = 1577.181
880 step, loss = 381.697
890 step, loss = 920.270
900 step, loss = 2056.439
910 step, loss = 2750.651
920 step, loss = 276.660
930 step, loss = 543.974
940 step, loss = 1244.214
950 step, loss = 697.192
960 step, loss = 886.841
970 step, loss = 448.699
980 step, loss = 614.843
990 step, loss = 1677.799
1000 step, loss = 731.896
1010 step, loss = 1020.553
1020 step, loss = 1097.725
1030 step, loss = 1323.295
1040 step, loss = 350.078
1050 step, loss = 352.241
1060 step, loss = 978.905
1070 step, loss = 1094.140
1080 step, loss = 1298.374
1090 step, loss = 789.256
1100 step, loss = 726.764
1110 step, loss = 898.794
1120 step, loss = 841.429
1130 step, loss = 1241.994
1140 step, loss = 386.213
1150 step, loss = 960.146
1160 step, loss = 560.113
1170 step, loss = 2039.845
1180 step, loss = 706.950
1190 step, loss = 1131.390
1200 step, loss = 358.267
1210 step, loss = 860.135
1220 step, loss = 679.646
1230 step, loss = 1989.257
1240 step, loss = 1518.304
1250 step, loss = 388.842
1260 step, loss = 1158.424
1270 step, loss = 317.091
1280 step, loss = 355.035
1290 step, loss = 964.550
1300 step, loss = 666.951
1310 step, loss = 229.220
1320 step, loss = 574.163
1330 step, loss = 1883.061
1340 step, loss = 1623.976
1350 step, loss = 659.433
1360 step, loss = 614.675
1370 step, loss = 937.307
1380 step, loss = 292.346
1390 step, loss = 2042.487
1400 step, loss = 259.787
1410 step, loss = 501.385
1420 step, loss = 253.184
1430 step, loss = 1994.049
1440 step, loss = 1291.082
1450 step, loss = 869.242
1460 step, loss = 1168.787
1470 step, loss = 337.630
1480 step, loss = 454.863
1490 step, loss = 1413.384
1500 step, loss = 3461.923
1510 step, loss = 727.360
1520 step, loss = 501.425
1530 step, loss = 330.182
1540 step, loss = 571.797
1550 step, loss = 918.992
1560 step, loss = 653.461
1570 step, loss = 1391.566
1580 step, loss = 827.008
1590 step, loss = 438.840
1600 step, loss = 625.264
1610 step, loss = 1342.801
1620 step, loss = 939.569
1630 step, loss = 800.885
1640 step, loss = 1388.336
1650 step, loss = 406.381
1660 step, loss = 742.611
1670 step, loss = 655.333
1680 step, loss = 277.357
1690 step, loss = 1851.594
1700 step, loss = 1068.834
1710 step, loss = 477.717
1720 step, loss = 337.729
1730 step, loss = 396.743
1740 step, loss = 856.383
1750 step, loss = 578.386
1760 step, loss = 543.703
1770 step, loss = 800.708
1780 step, loss = 801.786
1790 step, loss = 730.892
1800 step, loss = 509.283
1810 step, loss = 1553.053
1820 step, loss = 508.009
1830 step, loss = 351.745
1840 step, loss = 650.020
1850 step, loss = 514.529
1860 step, loss = 477.645
1870 step, loss = 912.047
1880 step, loss = 850.309
1890 step, loss = 373.935
1900 step, loss = 387.148
1910 step, loss = 1435.616
1920 step, loss = 675.862
1930 step, loss = 731.542
1940 step, loss = 740.353
1950 step, loss = 1383.796
1960 step, loss = 919.661
1970 step, loss = 686.800
1980 step, loss = 299.921
1990 step, loss = 1651.294
2000 step, loss = 905.786
